416	72	2
59	825	4
130	229	4
308	1421	4
913	168	4
878	51	4
595	844	4
263	222	4
507	879	5
44	433	4
103	98	3
868	222	3
553	657	5
251	866	2
313	210	4
641	50	3
174	143	5
823	721	4
64	172	4
640	12	5
926	321	3
59	219	5
660	1074	1
301	80	3
472	790	3
223	411	1
851	760	4
327	1073	2
561	194	4
173	879	5
411	9	4
59	650	5
429	587	3
566	856	5
804	520	4
551	317	5
456	186	4
14	14	3
377	234	5
686	48	5
393	342	5
201	655	4
608	660	5
587	995	3
206	889	2
324	270	5
332	96	5
318	458	4
776	670	3
561	214	3
174	315	5
271	215	4
374	427	3
559	182	4
613	194	5
145	338	3
334	324	4
450	928	3
437	425	4
660	230	3
445	546	2
838	69	4
600	449	4
536	141	4
59	55	5
308	778	3
279	625	3
655	221	3
621	585	4
614	237	2
848	241	5
727	217	3
408	347	3
457	566	4
697	928	3
861	170	5
278	245	3
385	210	1
497	97	4
450	647	4
393	597	3
600	182	4
378	674	3
642	147	4
389	630	3
458	293	5
416	1594	5
606	237	4
504	298	4
602	358	4
537	681	1
254	75	1
790	568	3
911	659	3
503	293	4
291	1017	4
83	66	4
527	651	5
452	185	5
907	924	5
615	640	3
266	268	4
933	234	3
650	118	4
660	179	4
102	684	2
782	1386	3
74	354	3
126	353	5
425	474	4
59	284	2
912	479	4
374	69	5
72	215	4
888	869	4
503	963	5
499	183	4
268	63	1
843	176	4
657	273	3
661	249	3
601	185	4
213	200	5
233	56	5
181	1026	1
49	38	1
43	354	4
62	21	3
327	200	4
5	364	1
811	286	5
178	491	4
416	959	5
244	553	5
608	163	1
541	623	3
184	371	5
34	899	5
7	202	3
44	946	3
326	436	3
727	1229	2
325	177	5
822	169	4
66	471	5
401	88	4
405	843	2
788	328	4
938	1061	4
457	4	4
543	651	3
720	1176	5
798	1469	3
88	898	4
201	62	1
653	737	1
555	265	3
640	919	5
285	302	5
931	459	4
883	919	4
650	21	2
727	206	3
130	827	4
524	520	3
199	892	1
797	748	1
881	601	5
551	708	1
862	977	4
294	286	5
405	543	1
292	248	4
648	500	5
605	754	3
798	194	4
62	1132	2
312	486	5
897	97	5
159	1152	4
416	155	5
381	228	4
62	190	5
178	193	4
638	188	3
175	88	4
561	746	3
474	13	5
308	942	3
428	892	4
928	269	5
16	27	2
267	431	4
918	656	4
325	286	4
890	452	2
669	22	3
519	350	5
423	299	3
345	137	4
493	262	3
303	583	1
484	651	5
446	338	2
244	71	4
393	775	4
145	173	5
698	499	3
674	678	3
738	63	3
305	486	5
389	674	2
608	506	4
532	234	5
383	213	5
453	233	2
464	1226	4
709	53	3
424	990	5
927	374	4
537	434	3
524	13	4
577	313	4
846	173	4
815	28	4
798	82	4
521	1016	3
417	1215	2
279	450	4
892	27	4
872	290	2
459	79	3
126	346	3
921	560	2
601	186	4
199	117	3
128	367	4
312	165	5
459	216	3
82	495	3
551	230	5
327	896	5
125	25	1
747	290	3
43	302	4
414	313	4
42	215	5
545	226	3
860	716	2
385	485	4
303	813	4
363	82	3
209	293	4
450	71	3
447	678	3
393	367	3
195	1089	4
790	105	2
85	1074	3
796	659	3
417	217	4
847	228	4
95	97	4
892	1124	4
13	671	3
592	121	4
889	540	2
197	313	4
913	268	2
423	313	4
18	142	4
363	448	5
478	137	4
707	242	4
546	222	4
194	419	2
621	270	4
748	357	3
23	421	5
405	1029	1
114	195	4
1	207	5
7	435	5
600	399	4
638	211	4
1	237	2
933	4	3
474	642	4
658	735	3
774	528	4
537	1147	3
660	546	2
393	1074	3
366	447	5
256	1210	5
72	220	3
201	1267	3
303	722	2
239	1332	3
566	1044	3
250	313	5
683	472	3
666	429	5
161	133	2
13	238	3
417	1228	2
279	1182	3
900	429	2
387	58	4
271	630	2
507	894	5
531	288	1
881	506	4
737	127	5
919	310	3
495	109	5
152	568	5
716	428	3
426	641	4
393	1185	3
497	724	5
535	639	4
215	238	2
840	611	4
653	658	2
11	52	3
457	239	5
815	144	4
790	609	2
734	605	4
503	25	4
156	646	4
843	7	5
330	385	5
239	1245	5
622	120	1
358	174	1
472	831	5
13	834	1
398	705	5
642	1287	2
541	222	4
848	566	4
293	559	2
648	413	2
373	699	4
342	95	4
484	227	5
85	529	3
654	116	4
177	340	4
586	56	5
